location,continent_o,country_o,iso_alpha,iso_num,lat,lng,timestamp,city,state-province,country,gender,pronouns,pre_oh,session_1,session_2,session_3,post_oh,total_events,submitted_pr,joined_discord,role,urp,sessions,learn_of_sprint,prior_sprints,os_experience,prior_os_pr,git,prog_langs,python_experience,used_pymc,pymc_repo_familiar,why_in_sprint,prep_work,primary_spoken_language,language_translation,count_rows,count,status_n,status_c
Bhopal  India,Asia,India,INR,356,23.2584857,77.401989,6/27/2022 17:42:19,Bhopal ,Madhya Pradesh ,India,Man,he/him,0.0,0.0,0.0,0.0,0.0,0,0.0,1,"Student, Software developer","No, I do not identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",Discord ,Yes,Intermediate,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, C+ / C++, Java",Advanced,I am not at all familiar with PyMC.,"I am familiar, I have submitted a PR in the past",Just love to contribute to open source ,Yes,"English, Hindi",No,1,1,0,Did Not Attend
Mering Germany,Europe,Germany,EUR,978,48.2667,10.9833,6/28/2022 7:42:22,Mering,Bayern ,Germany,Man,he/him,0.0,0.0,0.0,0.0,0.0,0,0.0,0,"Engineer, Software developer","No, I do not identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",Twitter,No,Beginner,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, C+ / C++, Java",Intermediate,I am not at all familiar with PyMC.,I am not at all familiar with this library.,To contribute back to open source community ,Yes,English,No,1,1,0,Did Not Attend
Louisville USA,North America,United States,USD,840,38.2542376,-85.759407,6/28/2022 9:54:17,Louisville,Kentucky,USA,Woman,she/her,0.0,0.0,0.0,1.0,1.0,2,1.0,1,"Analyst, Student","Yes, I identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",LinkedIn,No,Beginner,No,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, R",Unsure of level,I have used some PyMC for machine learning analysis.,"I am familiar, I have looked at the codebase.",I would love to get a structured opportunity to contribute to open source code. I have familiarity with GitHub but get nervous about making pull requests. I also really like working collaboratively.,Yes,English,No response,1,1,1,Attended
Kolkata India,Asia,India,INR,356,22.5726723,88.3638815,6/28/2022 13:27:07,Kolkata,West Bengal,India,Woman,she/her,0.0,0.0,0.0,0.0,0.0,0,0.0,0,Student,"Yes, I identify as an under-represented person.","Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday)","LinkedIn, Meetup, Slack, Twitter",Yes,Intermediate,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, MATLAB, C+ / C++",Intermediate,I have used some PyMC for machine learning analysis.,"I am familiar, I have submitted a PR in the past",I want to participate in this open source event because I have been an open source cintributr since 1.5 years .I ahve contribured to several open source libraries of python,Yes,English,Yes,1,1,0,Did Not Attend
Chicago USA,North America,United States,USD,840,41.8755616,-87.6244212,6/28/2022 16:45:39,Chicago,Illinois ,USA,Man,he/him,0.0,0.0,0.0,0.0,0.0,0,0.0,0,Researcher,"No, I do not identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday)","a friend, colleague, etc.  (word of mouth)",No,No experience,No,no experience with Git,"R, MATLAB",Beginner,I am not at all familiar with PyMC.,I am not at all familiar with this library.,Learn to work with PyMC,Yes,English,No,1,1,0,Did Not Attend
Lees Summit USA,North America,United States,USD,840,40.7456065,-96.6290307,6/29/2022 23:56:56,Lees Summit,Missouri,USA,Man,Prefer not to say,0.0,0.0,0.0,0.0,0.0,0,0.0,0,"Researcher, Epidemiologist","No, I do not identify as an under-represented person., I identify as an Ally in data science.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday)",LinkedIn,No,Beginner,Not sure; probably just a data download.,no experience with Git,"R, SAS, Stata",No experience with Python,I am not at all familiar with PyMC.,I am not at all familiar with this library.,To learn about Python statistical capabilities.,Yes,English,No,1,1,0,Did Not Attend
Tampa USA,North America,United States,USD,840,27.9477595,-82.458444,7/2/2022 0:00:26,Tampa,Florida,USA,Man,he/him,0.0,0.0,0.0,0.0,0.0,0,0.0,0,Engineer,"Yes, I identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",Meetup,No,Beginner,Yes,"comfortable submitting a PR, comfortable cloning a repository","Python, javascript",Beginner,I am not at all familiar with PyMC.,I am not at all familiar with this library.,to learn,Yes,English,No,1,1,0,Did Not Attend
Paris France,Europe,France,EUR,978,48.8534951,2.3483915,7/2/2022 2:20:00,Paris,Île de France ,France,Woman,she/her,0.0,0.0,0.0,0.0,0.0,0,0.0,0,Data Scientist,"Yes, I identify as an under-represented person.","Working session #1:  July 9, 2022 (Saturday), Working session #3: August 4, 2022 (Thursday)","Meetup, Twitter",Short workshop by wimlds ,Beginner,Yes,"comfortable submitting a PR, comfortable cloning a repository, used Git, but am not comfortable",Python,Advanced,I am not at all familiar with PyMC.,I am not at all familiar with this library.,To contribute to open source ,Yes,"French, English",No,1,1,0,Did Not Attend
Mombasa Kenya,Africa,Kenya,KES,404,-4.05052,39.667169,7/2/2022 8:56:19,Mombasa,Mombasa,Kenya,Man,he/him,1.0,1.0,0.0,0.0,0.0,2,0.0,1,Analyst,I prefer not to answer this question.,"Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",Meetup,No,Beginner,No,comfortable setting up virtual environment,"Python, R, C+ / C++",Intermediate,I am not at all familiar with PyMC.,"I am familiar, I have looked at the codebase.",Learn about how to cobtribute in Open Source.,Yes,"English, Swahili",No,1,1,1,Attended
Seattle USA,North America,United States,USD,840,47.6038321,-122.330062,7/2/2022 9:10:03,Seattle,Washington,USA,Woman,she/her,0.0,0.0,0.0,0.0,0.0,0,0.0,0,"self-learner, returning to work","Yes, I identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",somewhere on the interwebs,No,No experience,No,"used Git, but am not comfortable","Python, javascript",Beginner,I am not at all familiar with PyMC.,I am not at all familiar with this library.,"learning opportunity, exposure to new information",Not sure,English,No,1,1,0,Did Not Attend
